title_en,title_ar,category_en,category_ar,description_en,description_ar,price,currency,location,district,compound,bedrooms,bathrooms,area_sqm,listing_type,available
La Capitale Compound,كمبوند لا كابيتال,Residential Compound,كمبوند سكني,"The first residential project by Pyramids in the heart of the New Administrative Capital, located in R7 plot N2. The project extends over 56,000 m2 and includes apartments, duplexes, penthouses, and studios delivered fully finished with kitchens and ACs.","أول مشروع سكني لشركة بيراميدز في قلب العاصمة الإدارية الجديدة، يقع في منطقة R7 قطعة N2. يمتد المشروع على مساحة 56,000 متر مربع ويضم شققًا ودوبلكسات وبنتهاوس واستوديوهات تُسلم كاملة التشطيب مع المطابخ والتكييفات.",,EGP,New Administrative Capital,R7 - Plot N2,New Administrative Capital,,,56000,Project,1
Grand Square Mall,مول جراند سكوير,Mixed-Use Mall,مول متعدد الاستخدامات,"The first commercial and administrative mall in the business district at the entrance of the ministries. Ground and first floors are commercial, while upper floors include administrative and medical units.",أول مول تجاري وإداري في الحي المالي عند مدخل الوزارات. الطابق الأرضي والأول للوحدات التجارية، والأدوار العليا تضم وحدات إدارية وطبية.,,EGP,New Administrative Capital,Business District,New Administrative Capital,,,,Project,1
Champs Elysees Mall,مول الشانزليزيه,Mixed-Use Mall,مول متعدد الاستخدامات,"The second commercial and administrative project by Pyramids in the business district, in front of the Ministry of Finance. It includes commercial, administrative, and medical units.",ثاني مشروع تجاري وإداري لشركة بيراميدز في الحي المالي أمام وزارة المالية، ويضم وحدات تجارية وإدارية وطبية.,,EGP,New Administrative Capital,Business District,New Administrative Capital,,,,Project,1
Paris Mall,مول باريس,Commercial and Administrative Mall,مول تجاري وإداري,"A commercial, administrative, and tourist mall in MU23 between R2 and R3, serving more than 50,000 residential units in the New Administrative Capital. Unit types include commercial, administrative, and suites.","مول تجاري وإداري وسياحي في منطقة MU23 بين R2 وR3، ويخدم أكثر من 50,000 وحدة سكنية في العاصمة الإدارية الجديدة. يضم وحدات تجارية وإدارية وأجنحة.",,EGP,New Administrative Capital,MU23 between R2 and R3,New Administrative Capital,,,,Project,1
Paris East Mall,مول باريس إيست,Commercial and Administrative Mall,مول تجاري وإداري,"The sister project to Paris Mall in MU23, connected to it by teleferik. It includes commercial, administrative, and suite unit types.",المشروع المقابل لمول باريس في منطقة MU23 ويرتبط به عبر تليفريك. يضم وحدات تجارية وإدارية وأجنحة.,,EGP,New Administrative Capital,MU23,New Administrative Capital,,,,Project,1
La Capitale Suite Lagoons,لا كابيتال سويت لاجونز,Hospitality Suites,أجنحة فندقية,"A hospitality-focused project on 30.5 acres located on three main streets, directly overlooking the diplomatic district and the Green River near Expo City. Unit type: suites.",مشروع فندقي على مساحة 30.5 فدان يقع على ثلاثة شوارع رئيسية ويطل مباشرة على الحي الدبلوماسي والنهر الأخضر بالقرب من مدينة المعارض. نوع الوحدات: أجنحة.,,EGP,New Administrative Capital,Diplomatic District / Green River,New Administrative Capital,,,,Project,1
Pyramids Mall,مول بيراميدز,Commercial Mall,مول تجاري,"A commercial mall described by Pyramids as the first and biggest mall in Downtown New Administrative Capital, in front of Al Masa Hotel. The project consists of a ground floor and five typical floors.",مول تجاري تصفه بيراميدز بأنه أول وأكبر مول في داون تاون العاصمة الإدارية الجديدة أمام فندق الماسة. يتكون المشروع من دور أرضي وخمسة أدوار متكررة.,,EGP,New Administrative Capital,Downtown,New Administrative Capital,,,,Project,1
Pyramids Business Tower,بيراميدز بيزنس تاور,Mixed-Use Tower,برج متعدد الاستخدامات,"The first tower by Pyramids in Downtown New Administrative Capital, in front of Al Masa Hotel. It includes commercial, administrative, medical units, and an InterContinental hotel component.",أول برج لشركة بيراميدز في داون تاون العاصمة الإدارية الجديدة أمام فندق الماسة. يضم وحدات تجارية وإدارية وطبية إلى جانب مكون فندقي تابع لإنتركونتيننتال.,,EGP,New Administrative Capital,Downtown,New Administrative Capital,,,,Project,1
Pyramids City Mega Mall,بيراميدز سيتي ميجا مول,Commercial Administrative Medical City,مدينة تجارية إدارية طبية,"A mega project at the entrance of the New Administrative Capital in front of Al-Fattah Al-Aleem Mosque. It includes commercial shops, administrative offices, and medical clinics across a large mixed-use city plaza.",مشروع ضخم عند مدخل العاصمة الإدارية الجديدة أمام مسجد الفتاح العليم. يضم محلات تجارية ومكاتب إدارية وعيادات طبية داخل مدينة استثمارية متعددة الاستخدامات.,,EGP,New Administrative Capital,Entrance of the New Capital,New Administrative Capital,,,,Project,1
SkyCity El Galala,سكاي سيتي الجلالة,Touristic Residential Resort,منتجع سكني سياحي,"A residential, investment, and tourism resort in El Galala at about 700 meters above sea level. Pyramids describes it as the first and largest European tourist, investment, and residential resort in the city.",منتجع سكني واستثماري وسياحي في مدينة الجلالة على ارتفاع يقارب 700 متر فوق سطح البحر. تصفه بيراميدز بأنه أول وأكبر منتجع أوروبي سكني واستثماري وسياحي في المدينة.,,EGP,El Galala City,El Galala,El Galala,,,,Project,1
